Year Month,Created,Metadata Updated,Data Updated
2014-04,5,,
2014-05,3,,
2014-06,5,,1
2014-07,1,,
2014-08,5,,
2014-09,10,,
2014-10,17,,1
2014-11,23,,
2014-12,31,,1
2015-01,51,,1
2015-02,19,,
2015-03,34,,1
2015-04,64,,3
2015-05,208,,1
2015-06,31,,4
2015-07,60,,1
2015-08,38,,194
2015-09,104,,21
2015-10,291,,72
2015-11,68,,275
2015-12,106,,53
2016-01,220,,190
2016-02,23,,18
2016-03,26,,22
2016-04,41,,38
2016-05,31,,17
2016-06,36,,26
2016-07,19,,12
2016-08,43,,37
2016-09,45,,64
2016-10,90,,65
2016-11,29,,22
2016-12,24,,25
2017-01,26,,21
2017-02,34,,26
2017-03,34,,36
2017-04,24,,12
2017-05,29,,18
2017-06,21,,21
2017-07,27,,23
2017-08,38,,39
2017-09,33,,23
2017-10,26,,7
2017-11,27,,17
2017-12,41,,41
2018-01,35,1,33
2018-02,34,2,26
2018-03,38,,9
2018-04,24,,24
2018-05,60,,58
2018-06,22,,151
2018-07,91,,111
2018-08,23,,227
2018-09,213,,205
2018-10,71,,119
2018-11,113,,16
2018-12,27,,22
2019-01,29,,16
2019-02,22,,21
2019-03,40,,33
2019-04,117,,48
2019-05,37,,27
2019-06,143,,68
2019-07,56,,85
2019-08,13,3,13
2019-09,99,47,53
2019-10,54,4,41
2019-11,84,14,317
2019-12,22,4,25
2020-01,21,,25
2020-02,40,3,25
2020-03,50,4,53
2020-04,64,6,20
2020-05,63,1,25
2020-06,65,1,50
2020-07,32,4,32
2020-08,27,3,22
2020-09,123,,20
2020-10,29,3,25
2020-11,93,3,55
2020-12,24,5,41
2021-01,33,2,35
2021-02,21,1,20
2021-03,22,5,26
2021-04,66,2,75
2021-05,40,16,72
2021-06,58,8,46
2021-07,22,24,18
2021-08,66,10,75
2021-09,40,70,38
2021-10,74,3,69
2021-11,44,9,44
2021-12,46,8,42
2022-01,17,65,43
2022-02,133,1,140
2022-03,54,7,61
2022-04,13,6,20
2022-05,26,2,12
2022-06,53,7,58
2022-07,27,6,35
2022-08,763,6,33
2022-09,39,63,35
2022-10,219,1,27
2022-11,82,5,72
2022-12,42,5,61
2023-01,46,5,19
2023-02,123,22,120
2023-03,52,1097,96
2023-04,25,21,30
2023-05,94,1200,112
2023-06,28,101,51
2023-07,25,23,27
2023-08,43,176,81
2023-09,42,305,127
2023-10,53,763,56
2023-11,118,116,148
2023-12,26,76,42
2024-01,13,130,50
2024-02,11,95,497
2024-03,20,353,66
2024-04,19,175,361
2024-05,20,1741,289
2024-06,1,179,99
